DATE,Export_Price_Index_of_Gold
2001-01-01,97
2001-02-01,94.8
2001-03-01,93.7
2001-04-01,93.9
2001-05-01,93.1
2001-06-01,97.2
2001-07-01,94.7
2001-08-01,94.4
2001-09-01,95.9
2001-10-01,99.8
2001-11-01,99.5
2001-12-01,97.4
2002-01-01,97.2
2002-02-01,99
2002-03-01,104
2002-04-01,103.6
2002-05-01,106.8
2002-06-01,110.8
2002-07-01,113.3
2002-08-01,110.6
2002-09-01,109.5
2002-10-01,112.5
2002-11-01,111.6
2002-12-01,112.4
2003-01-01,117
2003-02-01,126.4
2003-03-01,127.2
2003-04-01,119.4
2003-05-01,115.1
2003-06-01,124.5
2003-07-01,124.8
2003-08-01,122.9
2003-09-01,126
2003-10-01,133
2003-11-01,133
2003-12-01,136.5
2004-01-01,142.9
2004-02-01,144.7
2004-03-01,141.4
2004-04-01,142.6
2004-05-01,140.9
2004-06-01,134.8
2004-07-01,137.8
2004-08-01,139.5
2004-09-01,140.5
2004-10-01,142.2
2004-11-01,147.6
2004-12-01,153.7
2005-01-01,154.6
2005-02-01,148.7
2005-03-01,148.3
2005-04-01,151.7
2005-05-01,150.4
2005-06-01,148
2005-07-01,150.9
2005-08-01,148.9
2005-09-01,153.6
2005-10-01,160.3
2005-11-01,164.5
2005-12-01,167.1
2006-01-01,178.5
2006-02-01,191.9
2006-03-01,193.5
2006-04-01,195.4
2006-05-01,214.7
2006-06-01,234.7
2006-07-01,209.1
2006-08-01,222.1
2006-09-01,221
2006-10-01,207.8
2006-11-01,205.2
2006-12-01,219.2
2007-01-01,219.9
2007-02-01,220.7
2007-03-01,231.6
2007-04-01,228.7
2007-05-01,236.6
2007-06-01,232.9
2007-07-01,228.6
2007-08-01,232.3
2007-09-01,232.7
2007-10-01,250.2
2007-11-01,265
2007-12-01,280.4
2008-01-01,281.5
2008-02-01,311.5
2008-03-01,322.8
2008-04-01,334.5
2008-05-01,316.4
2008-06-01,309.5
2008-07-01,311
2008-08-01,327.3
2008-09-01,292
2008-10-01,291.3
2008-11-01,280
2008-12-01,265
2009-01-01,285.4
2009-02-01,301.1
2009-03-01,329.4
2009-04-01,322.5
2009-05-01,311.1
2009-06-01,324.5
2009-07-01,330.1
2009-08-01,326.4
2009-09-01,331.7
2009-10-01,348.1
2009-11-01,364.3
2009-12-01,392.3
2010-01-01,394.8
2010-02-01,390.1
2010-03-01,382.4
2010-04-01,388.5
2010-05-01,400.6
2010-06-01,420.5
2010-07-01,430.1
2010-08-01,415.8
2010-09-01,424.5
2010-10-01,444.4
2010-11-01,468.9
2010-12-01,478.3
2011-01-01,485.5
2011-02-01,473.5
2011-03-01,479.4
2011-04-01,497
2011-05-01,516.2
2011-06-01,527.3
2011-07-01,532.2
2011-08-01,551.2
2011-09-01,614.4
2011-10-01,613.1
2011-11-01,581.8
2011-12-01,607.7
